Pressure,alpha_diversity,beta_similarity,beta_structure
Climate change,0.014446784305658187,-0.7132142449124522,0.14833677038903528
Climate change,0.5315364370289336,-0.8926321195073103,0.24117982971947324
Climate change,-0.19952865867530378,0.28585422599087223,0.23529584288958338
Climate change,0.39121050504572397,-0.08761230550120477,0.5886497263793307
Climate change,-0.46947165700411686,0.056827844301941474,1.8926888223581089
Climate change,-0.31580245411632296,0.30993484466641935,0.0031426115879688576
Climate change,0.17499123830368482,0.08518227949493333,1.1212357896905174
Climate change,-0.2480932000765258,-0.3272929006075874,1.414833527293123
Climate change,0.45283846344995593,-0.6945304787879358,0.9923631644384472
Climate change,-0.648844991755316,-0.7501061328591504,0.02193081837587907
Climate change,-0.46624775694191106,-0.17767070165720578,0.7950841945290283
Climate change,-0.3945793774472455,0.606506995680863,0.5034082263253341
Climate change,-0.12323094649596487,-0.11283643346296884,0.5433000119415078
Climate change,0.05017065250471393,-0.7984166710951217,0.4825683755578347
Climate change,-0.05375588228012783,-0.5305545481796978,0.18711243429850724
Climate change,-0.004863878946241452,-0.3800133620777372,0.6720218278838617
Climate change,0.0789100444328654,0.21011354237630442,0.0
Climate change,-0.42983316955605805,-0.41039568671977866,0.0
Climate change,-0.6490805624957429,0.11106630210570993,1.199454838199883
Climate change,-0.09294780348469878,0.7974280955074445,0.8201164433007131
Climate change,0.5262483146265443,1.0,1.3019998540378077
Climate change,0.6996712740065852,0.8227522303302877,0.8146089237579491
Climate change,0.10791492625263607,0.6548128811510646,0.9551519880484508
Climate change,0.2229028635903715,0.4774673548585428,0.661801884915119
Climate change,0.4360264875507911,0.37800257210037996,0.47847264842438236
Climate change,0.6266634314260274,-0.7122174946756498,0.0
Climate change,-0.33733179521749235,0.8625611588843101,0.6136193211745787
Climate change,0.7452881750224725,-0.1390921990530801,0.24111562500350472
Climate change,0.5788263177868097,-0.21521527296419485,0.9552590335471253
Climate change,-0.8843690440027726,0.5890792785062811,0.9923098819388577
Climate change,0.374446497895052,-1.0,0.0
Climate change,0.15970515529656565,0.02996722861232428,0.8934249413862815
Climate change,-0.3929660347215557,0.23497734738081189,0.052061422226563514
Climate change,-0.19563975754674678,0.24098284365365846,0.9328731962193616
Climate change,-0.04193402171298642,-0.23641990969908677,0.0
Climate change,0.4501317903811534,0.785021036742746,0.5566231803904089
Climate change,-0.6722184955440922,0.33125824593572506,0.903560124648035
Climate change,-0.1257223212521727,1.0,0.6083670581061336
Climate change,0.40891903658476525,0.8749899090603487,0.6393968005556393
Climate change,0.6610623682314262,-0.8830848842044123,0.3499949796140053
Climate change,-0.16842253978806107,0.37721146446114184,0.0
Climate change,-0.055387070582797,-0.025286367962803123,0.9684021129813449
Climate change,0.11511216428691495,-0.45644685493751874,0.6064822954915854
Climate change,-0.3560379555406373,-0.26941667384348156,0.0
Climate change,0.3331283525523169,0.12121847737427359,0.5477340511624521
Climate change,0.1564477069362938,-0.210719312069524,1.209625457617026
Climate change,0.36398572657671013,-0.5560008759119026,0.0
Climate change,-0.1537491261179974,-0.2393814950990395,0.13903950965845466
Climate change,-0.5413789224266401,0.35525049956680754,0.6858720266121914
Climate change,-0.250952334892102,-0.9469054366313968,0.0
Climate change,-0.22280641542424842,-1.0,0.10434797935088708
Climate change,0.18464993819263373,0.13845334744933585,0.0
Climate change,-0.2094888172318103,-0.8205363409177001,0.5519094693338509
Climate change,-0.5584769510014606,-0.4345402866006091,0.24787199339928595
Climate change,0.25758862354383777,-0.742799573546439,0.6837922389275695
Climate change,0.5242165449257827,0.5103073391546312,0.0
Climate change,-0.06579094100066768,0.635879482323266,0.0
Climate change,0.06602766871485334,0.2556354700918542,0.10746362109247287
Climate change,0.4395905326496449,-0.19272953099034185,0.08698911814675886
Climate change,-0.302777803606499,-0.21903962368743524,0.0
Climate change,-0.39567348551417125,-0.4335727360730245,0.0
Climate change,0.6480523272183081,0.0823702243774732,1.0485200863805848
Climate change,-0.40511942938442735,-0.39460775583870883,0.8246256474478573
Climate change,-0.22080373589789254,0.36180009675402985,1.1253764017389107
Climate change,0.02453225106246874,-0.5954989882038423,0.0672422115538065
Climate change,0.08868649531870018,0.8488225377097934,0.0
Climate change,-0.7526989000534083,0.018412218498984043,0.721073389140531
Climate change,0.16035701761942944,-1.0,0.7312508843966522
Climate change,-0.18597917264334402,0.6755516482140638,0.6871813647079477
Climate change,0.3762840439803349,0.47204725777731416,0.42951392396412547
Climate change,-0.48980693715822204,-0.3252629531282338,0.3240057049993108
Climate change,0.40941541588144864,0.944070680183965,0.0
Climate change,-0.1184503113025103,-1.0,0.3069558836858156
Climate change,-0.03185986770025616,0.3484986170920813,0.05323757853118111
Climate change,-0.17364061460161767,-0.02912108905306747,0.20826587699438567
Climate change,0.12903416134167747,-0.6910770979393048,0.534451176684452
Climate change,0.253410091302251,-0.8752591540894747,1.2952103111165645
Climate change,0.26099437872338555,-0.1875031604811369,0.0
Climate change,0.10353216677119717,0.6290016711366613,0.19889929163267484
Climate change,-0.058099897609092316,0.7058497157984973,0.7108980065299668
Climate change,0.1975342280789286,0.29831722037733277,0.4813097212209345
Climate change,-0.7686417226313476,-0.6923048770724339,0.3123768966231052
Climate change,-0.28439353435233883,1.0,0.8117421592045428
Climate change,-0.22581972287690574,0.09937926743292441,0.04504364345501011
Climate change,0.5285846467441632,0.08955396840195956,0.5324845058139304
Climate change,-0.2648716147091085,-1.0,0.8004563456799989
Climate change,0.3573217742739946,0.7843640946715439,0.9833273830950592
Climate change,-0.016521676058810265,0.3127419050139322,0.29833363474645125
Climate change,0.2906936374787794,-0.012928322391344936,0.6798907742293546
Climate change,-0.5508501033945896,0.3467312469125395,1.067690140774531
Climate change,0.25468319530698763,0.46822200743355735,0.0
Climate change,-0.2870802258595144,0.3176126196491732,0.6956171248848775
Climate change,0.8344740611504715,-0.29791717154362324,0.6061077403243403
Climate change,-0.9479943676795235,0.018319371537867085,0.7026835083705032
Climate change,-0.18168752301228433,0.8143951533068838,0.5556997704105058
Climate change,-0.11652322727234019,-0.6253289554892191,0.946639057376392
Climate change,-0.7857245812026608,0.8453450854755559,0.35900960018718214
Climate change,0.19718969565566033,-0.35501802446480635,0.6233516015670847
Climate change,-0.38728083667813884,0.180101104378869,0.0
Climate change,-0.43223492536878866,-1.0,1.222342394206286
Climate change,0.4209665246642245,-0.2006110808891931,1.0949947950794514
Climate change,-0.06429463344663033,-0.6270451545963672,0.0
Climate change,-0.45655460229724176,-0.4233240013169338,0.4592246202801275
Climate change,0.0011143960319984596,0.41287053277980507,0.31036297232327537
Climate change,-0.12037053620054054,0.17211456795874247,0.028398058677300275
Climate change,0.2648502541401261,-0.7992461672274754,0.8824044792996772
Climate change,0.20377955690754548,-0.24801087465533073,0.0
Climate change,-0.8629777179452452,0.8626815842767671,0.14647837458334062
Climate change,0.41608721766027945,-0.84845178564041,0.2128707865528994
Climate change,,0.1814137751500131,0.8054353552196508
Climate change,,0.025491241315195173,0.0
Climate change,,-0.5081633075628598,0.292255642023651
Climate change,,0.5965702512978259,0.0
Climate change,,-0.26775690151688186,0.59043183444853
Climate change,,-0.49568059763105904,0.0
Climate change,,1.0,0.7275487114401338
Climate change,,0.08666518986524517,0.7753439333574604
Climate change,,-0.42199275074983467,0.0
Climate change,,1.0,0.27105400060098783
Climate change,,0.43786255939304686,0.0
Climate change,,-1.0,1.0051120493049823
Climate change,,-1.0,0.31453157578447577
Climate change,,0.43980108529033374,0.6415569404819632
Climate change,,-0.22742988783872004,0.4999068864411471
Climate change,,-1.0,0.5598873195315944
Climate change,,0.8334876425164648,0.0
Climate change,,-0.1583958011345113,0.17772140446566723
Climate change,,0.7933854204365985,0.8328158053972539
Climate change,,0.29921663503608453,0.0
Climate change,,-0.09821366855386991,0.0
Climate change,,0.2837478048342419,0.0
Climate change,,0.6448686458472896,1.123561700057889
Climate change,,0.5763611346970274,0.18368208409284312
Climate change,,-0.4536447664096719,1.360099415342774
Climate change,,0.22395455269219966,0.0
Climate change,,-0.43198238225113744,0.6782515461348382
Climate change,,0.19257501455457599,0.08346272500189666
Climate change,,0.5920934291855571,1.6669993905956455
Climate change,,1.0,0.0
Climate change,,0.18375836603878604,0.6835779289037711
Climate change,,-0.5633619896197721,0.6065270438587166
Climate change,,-0.8648712282424567,0.47049618311324864
Climate change,,1.0,0.1366340656016522
Climate change,,-0.033797463672302866,0.6269970980844117
Climate change,,-0.13031123219530033,0.8714473510914764
Climate change,,-0.021855942820343487,0.13285682719109465
Climate change,,0.602697722732185,1.3338101591347344
Climate change,,0.6748140967256013,0.0
Climate change,,0.23672941939965947,0.5784728534275633
Climate change,,0.475160581836065,0.6629463905449995
Climate change,,0.6826363633667808,0.0
Climate change,,0.2880215100431584,0.34259579224210646
Climate change,,-0.4650479394743739,0.23501482694221865
Climate change,,0.6490623027902607,0.2538663039487127
Climate change,,0.06740906093951385,0.0
Climate change,,0.5883922551978087,0.10187906527890483
Climate change,,-0.3085743344101467,0.0
Climate change,,0.5516378990839158,0.7917168571633447
Climate change,,-0.5147261668455184,1.0626847702960314
Climate change,,0.5950917202796099,0.9714617134963165
Climate change,,0.863938173643987,0.37893159274780636
Climate change,,0.032535049464517726,0.38295882388398855
Climate change,,0.8725393349088879,1.2198447096792258
Climate change,,0.34897654741225814,0.5855393368955961
Climate change,,0.5184339044276486,1.6296318243552972
Climate change,,0.20876385903355527,0.0
Climate change,,0.23813105071715668,0.8227409793858134
Climate change,,0.41215737144866,1.7150091378309777
Climate change,,-0.11732070348973439,1.492507937707775
Climate change,,0.05550086615085209,0.44444992388384014
Climate change,,0.16651305538131977,0.597155617015775
